Registered,12,8/15/2017 7:00:00 AM,FN_M_12,LN_12,M,59
Registered,13,8/15/2017 7:00:00 AM,FN_M_13,LN_13,M,55
---
Registered,14,8/15/2017 7:02:00 AM,FN_F_14,LN_14,F,16
Registered,15,8/15/2017 7:02:00 AM,FN_M_15,LN_15,M,26
Registered,16,8/15/2017 7:02:00 AM,FN_F_16,LN_16,F,46
---
Registered,17,8/15/2017 7:04:00 AM,FN_F_17,LN_17,F,40
Registered,18,8/15/2017 7:04:00 AM,FN_F_18,LN_18,F,18
---
Registered,19,8/15/2017 7:06:00 AM,FN_F_19,LN_19,F,56
---
Registered,20,8/15/2017 7:08:00 AM,FN_M_20,LN_20,M,53
Registered,21,8/15/2017 7:08:00 AM,FN_M_21,LN_21,M,54
---
Registered,22,8/15/2017 7:10:00 AM,FN_F_22,LN_22,F,58
---
Registered,23,8/15/2017 7:12:00 AM,FN_F_23,LN_23,F,26
Registered,24,8/15/2017 7:12:00 AM,FN_M_24,LN_24,M,39
Registered,25,8/15/2017 7:12:00 AM,FN_M_25,LN_25,M,22
---
Registered,26,8/15/2017 7:14:00 AM,FN_M_26,LN_26,M,46
DidNotStart,26,8/15/2017 7:14:00 AM
---
Registered,27,8/15/2017 7:16:00 AM,FN_M_27,LN_27,M,24
Registered,28,8/15/2017 7:16:00 AM,FN_M_28,LN_28,M,52
Registered,29,8/15/2017 7:16:00 AM,FN_F_29,LN_29,F,46
---
Registered,30,8/15/2017 7:18:00 AM,FN_M_30,LN_30,M,37
---
Registered,31,8/15/2017 7:20:00 AM,FN_F_31,LN_31,F,21
---
Registered,32,8/15/2017 7:22:00 AM,FN_F_32,LN_32,F,38
Registered,33,8/15/2017 7:22:00 AM,FN_M_33,LN_33,M,21
---
Registered,34,8/15/2017 7:24:00 AM,FN_M_34,LN_34,M,50
Registered,35,8/15/2017 7:24:00 AM,FN_F_35,LN_35,F,38
---
Registered,36,8/15/2017 7:26:00 AM,FN_M_36,LN_36,M,37
Registered,37,8/15/2017 7:26:00 AM,FN_F_37,LN_37,F,35
Registered,38,8/15/2017 7:26:00 AM,FN_F_38,LN_38,F,20
---
Registered,39,8/15/2017 7:28:00 AM,FN_F_39,LN_39,F,56
Registered,40,8/15/2017 7:28:00 AM,FN_F_40,LN_40,F,28
Registered,41,8/15/2017 7:28:00 AM,FN_M_41,LN_41,M,31
---
Registered,42,8/15/2017 7:30:00 AM,FN_M_42,LN_42,M,45
Registered,43,8/15/2017 7:30:00 AM,FN_M_43,LN_43,M,32
---
Registered,44,8/15/2017 7:32:00 AM,FN_F_44,LN_44,F,49
---
Registered,45,8/15/2017 7:34:00 AM,FN_M_45,LN_45,M,43
Registered,46,8/15/2017 7:34:00 AM,FN_M_46,LN_46,M,54
Registered,47,8/15/2017 7:34:00 AM,FN_M_47,LN_47,M,36
---
Registered,48,8/15/2017 7:36:00 AM,FN_M_48,LN_48,M,57
---
Registered,49,8/15/2017 7:38:00 AM,FN_F_49,LN_49,F,44
Registered,50,8/15/2017 7:38:00 AM,FN_M_50,LN_50,M,20
DidNotStart,24,8/15/2017 7:38:00 AM
---
Registered,51,8/15/2017 7:40:00 AM,FN_M_51,LN_51,M,41
Registered,52,8/15/2017 7:40:00 AM,FN_M_52,LN_52,M,26
Registered,53,8/15/2017 7:40:00 AM,FN_F_53,LN_53,F,34
---
Registered,54,8/15/2017 7:42:00 AM,FN_F_54,LN_54,F,49
Registered,55,8/15/2017 7:42:00 AM,FN_M_55,LN_55,M,51
Registered,56,8/15/2017 7:42:00 AM,FN_F_56,LN_56,F,41
---
Registered,57,8/15/2017 7:44:00 AM,FN_M_57,LN_57,M,41
Registered,58,8/15/2017 7:44:00 AM,FN_F_58,LN_58,F,29
Registered,59,8/15/2017 7:44:00 AM,FN_M_59,LN_59,M,49
---
Registered,60,8/15/2017 7:46:00 AM,FN_F_60,LN_60,F,29
---
Registered,61,8/15/2017 7:48:00 AM,FN_M_61,LN_61,M,59
Registered,62,8/15/2017 7:48:00 AM,FN_M_62,LN_62,M,43
Registered,63,8/15/2017 7:48:00 AM,FN_F_63,LN_63,F,31
---
